127.0.0.1 - - [24/Dec/2019:18:03:49 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:03:51 +0530] "GET /SecurePrivateCloudNew/pages/login.jsp HTTP/1.1" 200 5331
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:00 +0530] "GET /SecurePrivateCloudNew/pages/login.jsp HTTP/1.1" 200 5331
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:00 +0530] "GET /SecurePrivateCloudNew/theme/assets/css/ready.css HTTP/1.1" 200 113422
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:01 +0530] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:04 +0530] "POST /SecurePrivateCloudNew/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 500 4395
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:29 +0530] "GET /SecurePrivateCloudNew/pages/login.jsp HTTP/1.1" 200 5331
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:30 +0530] "GET /SecurePrivateCloudNew/theme/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:30 +0530] "GET /SecurePrivateCloudNew/theme/assets/css/ready.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:30 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/jquery.masknumber.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:30 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/core/jquery.3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:30 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/jquery.masknumber.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:30 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/core/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:30 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/jquery-ui-1.12.1.custom/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:30 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:30 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/bootstrap-toggle/bootstrap-toggle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:30 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/core/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:30 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/chartist/chartist.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:30 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/chartist/plugin/chartist-plugin-tooltip.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:30 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/jquery-mapael/jquery.mapael.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:30 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/ready.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:30 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:30 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/chart-circle/circles.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:30 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/jquery-mapael/maps/world_countries.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:30 +0530] "GET /SecurePrivateCloudNew/theme/assets/css/demo.css HTTP/1.1" 200 1571
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:30 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/jquery.masknumber.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:30 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/jquery.masknumber.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:30 +0530] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [24/Dec/2019:18:04:40 +0530] "POST /SecurePrivateCloudNew/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 500 3423
