127.0.0.1 - - [14/Mar/2020:16:57:12 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Mar/2020:16:57:13 +0530] "GET /SecurePrivateCloudNew/pages/login.jsp HTTP/1.1" 200 5331
0:0:0:0:0:0:0:1 - - [14/Mar/2020:16:57:13 +0530] "GET /SecurePrivateCloudNew/theme/assets/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [14/Mar/2020:16:57:13 +0530] "GET /SecurePrivateCloudNew/theme/assets/css/ready.css HTTP/1.1" 200 113422
0:0:0:0:0:0:0:1 - - [14/Mar/2020:16:57:13 +0530] "GET /SecurePrivateCloudNew/theme/assets/css/demo.css HTTP/1.1" 200 1571
0:0:0:0:0:0:0:1 - - [14/Mar/2020:16:57:13 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/jquery.masknumber.js HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [14/Mar/2020:16:57:14 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/jquery.masknumber.min.js HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [14/Mar/2020:16:57:28 +0530] "GET /SecurePrivateCloudNew/pages/login.jsp HTTP/1.1" 200 5331
0:0:0:0:0:0:0:1 - - [14/Mar/2020:16:57:28 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/jquery.masknumber.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2020:16:57:28 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/jquery.masknumber.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2020:16:57:28 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/ready.min.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Mar/2020:16:57:28 +0530] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [14/Mar/2020:16:57:37 +0530] "POST /SecurePrivateCloudNew/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [14/Mar/2020:16:57:37 +0530] "GET /SecurePrivateCloudNew/pages/dashboard.jsp HTTP/1.1" 200 25820
192.168.0.104 - - [14/Mar/2020:17:03:52 +0530] "GET /SecurePrivateCloudNew/pages/uploadFileModal.jsp HTTP/1.1" 404 1088
192.168.0.104 - - [14/Mar/2020:17:03:56 +0530] "GET /SecurePrivateCloudNew/pages/uploadFileModal.jsp HTTP/1.1" 404 1088
192.168.0.104 - - [14/Mar/2020:17:03:57 +0530] "GET /SecurePrivateCloudNew/pages/uploadFileModal.jsp HTTP/1.1" 404 1088
192.168.0.104 - - [14/Mar/2020:17:03:57 +0530] "GET /SecurePrivateCloudNew/pages/uploadFileModal.jsp HTTP/1.1" 404 1088
192.168.0.104 - - [14/Mar/2020:17:04:02 +0530] "GET /SecurePrivateCloudNew/pages/dashboard.jsp HTTP/1.1" 500 4168
